Vendor,Tax ID,Address,City,Country
Moretronic Intelligence,DE987564,Bauhaus Strasse 21,Munchen,Germany
Volga Rivers,DE325476,Hoch Strasse 12,Koln,Germany
Softix Providers,FR065748,Rue Haute 32,Lyon,France
Miditronic Technologies,FR322345,Avenue Lafarge 23,Grenoble,France
Mecatronic Group,RO094782,Bulevardul Unirii 11,Iasi,Romania
Godmother Catering,RO123456,Strada Flamanda 45,Bucuresti,Romania
In Advantage Technologies,IT754893,Via del Colosseo,Roma,Italy
Blue Lagoon,FR329083,Avenue Foch 28,Paris,France
Red Communications,RU567434,Pobeda Ulitsa 21,Moscow,Russia
Microtronic Enterprise,IT213456,Via Alta 32,Roma,Italy
Softing Company,IT145632,Via Longa 201,Rimini,Italy
Purple Store,DE456232,Moven Strasse 44,Berlin,Germany
